Description|Price|Rating|ReviewCount|Url
Description|Price|Rating|ReviewCount|Url
Apple iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Space Grey)|₹28,999|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-64-gb-rom-10-2-inch-wi-fi-only-space-grey/p/itmd7d2c4840fa04?pid=TABG6VNCHTRZGN9N&lid=LSTTABG6VNCHTRZGN9NIK0OLT&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&spotlightTagId=FkPickId_tyy%2Fhry&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNCHTRZGN9N.SEARCH&ppt=sp&ppn=sp&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi Only (Silver)|₹28,999|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-64-gb-rom-10-2-inch-wi-fi-only-silver/p/itmaec2e3fa2ddba?pid=TABG6VNCSZF7FBZJ&lid=LSTTABG6VNCSZF7FBZJMYWZER&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_2&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNCSZF7FBZJ.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (8th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only (Space Grey)|₹29,475|4.7|7,651 Ratings & 764 Reviews|https://www.flipkart.com/apple-ipad-8th-gen-32-gb-rom-10-2-inch-wi-fi-only-space-grey/p/itm3cc7ba36f500a?pid=TABFVZD2CHSWPBYX&lid=LSTTABFVZD2CHSWPBYXMXOCCM&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_3&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFVZD2CHSWPBYX.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G (Silver)|₹38,643|4.6|13,731 Ratings & 1,165 Reviews|https://www.flipkart.com/apple-ipad-7th-gen-32-gb-rom-10-2-inch-wi-fi-4g-silver/p/itm5e00a6729e7b8?pid=TABFHF3AQQHQS6FX&lid=LSTTABFHF3AQQHQS6FXYSPLT5&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_4&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABFHF3AQQHQS6FX.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Blue)|₹38,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-only-blue/p/itm5d7707aeb1a78?pid=TABGJ6XUUNYTFDYH&lid=LSTTABGJ6XUUNYTFDYHVYBX7S&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_5&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XUUNYTFDYH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Silver)|₹38,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-only-silver/p/itmd486c16ac081f?pid=TABGJ6XUN2YTSBVU&lid=LSTTABGJ6XUN2YTSBVUHSF9US&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_6&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XUN2YTSBVU.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Pink)|₹38,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-only-pink/p/itmaf20456d05879?pid=TABGJ6XUSFTPNTKH&lid=LSTTABGJ6XUSFTPNTKHITLWPF&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_7&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XUSFTPNTKH.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (10th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Yellow)|₹39,900|4.7|2,838 Ratings & 181 Reviews|https://www.flipkart.com/apple-ipad-10th-gen-64-gb-rom-10-9-inch-wi-fi-only-yellow/p/itmf1a64e377c0c0?pid=TABGJ6XUVMSWMHFX&lid=LSTTABGJ6XUVMSWMHFXX1QY7L&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_8&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABGJ6XUVMSWMHFX.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
Apple iPad (9th Gen) 64 GB ROM 10.2 inch with Wi-Fi+4G (Silver)|₹42,900|4.6|38,262 Ratings & 2,835 Reviews|https://www.flipkart.com/apple-ipad-9th-gen-64-gb-rom-10-2-inch-wi-fi-4g-silver/p/itm04fd2eeaa6ecb?pid=TABG6VNCFQHFH8GT&lid=LSTTABG6VNCFQHFH8GTFUYTLC&marketplace=FLIPKART&q=ipad&store=tyy%2Fhry&srno=s_1_9&otracker=search&otracker1=search&iid=0976af8b-4e89-4bf1-9d0f-30a518683923.TABG6VNCFQHFH8GT.SEARCH&ssid=da4fmjsdkw0000001709629169298&qH=09401fded433c347
